EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,WAFER CLEAN PRE PROCESS,GATE OXIDE PREP
valid_0002,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0004,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,CLEAN PAD OPENING,PATTERN INSPECTION LEVEL 1
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0006,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BREAKDOWN VOLTAGE TEST
valid_0008,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,INSPECT PATTERN LEVEL 3,DENSIFY OXIDE
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,RAPID THERMAL ANNEAL
valid_0010,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,RAPID THERMAL ANNEAL
valid_0012,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,STRIP PHOTORESIST
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,RAPID THERMAL ANNEAL
valid_0014,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0016,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,MEASURE THICKNESS,PASSIVATION ETCH PAD OPENING
valid_0017,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,MEASURE DIELECTRIC THICKNESS
valid_0018,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,INSPECT PATTERN LEVEL 3,DENSIFY OXIDE
valid_0019,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE VIA CD,ALIGN MASK LEVEL 1,CMP METAL
valid_0020,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,MEASURE WAFER THICKNESS,PASSIVATION ETCH PAD OPENING
valid_0021,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,CLEAN AFTER POLY ETCH
valid_0022,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE OPENING CD
valid_0023,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER POLY ETCH
valid_0024,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,MEASURE VIA CD,VIA INSPECTION
valid_0026,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,ELECTRICAL PARAMETRIC TEST
valid_0027,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,STRIP RESIST LEVEL 4,LOT IDENTIFICATION
valid_0028,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST
valid_0029,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,RAPID THERMAL ANNEAL,STRIP RESIST LEVEL 4
valid_0030,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,MEASURE OPENING CD
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,RAPID THERMAL ANNEAL
valid_0032,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,GATE OXIDE GROWTH
valid_0033,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT METAL 1,SHIP LOT,CMP VIA FILL
valid_0034,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH PAD OPENING,STRIP RESIST LEVEL 5,MEASURE THICKNESS
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,CMP METAL
valid_0036,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,ALIGN MASK LEVEL 3,CLEAN AFTER VIA ETCH
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0038,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0039,CMP VIA FILL,CMP METAL,MEASURE CONTACT RESISTANCE,MEASURE VIA RESISTANCE,DEPOSIT BARRIER METAL
valid_0040,MEASURE PAD OPENING,BACKSIDE THINNING CHECK,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,CLEAN PAD OPENING
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,DEPOSIT POLYSILICON
valid_0042,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,MEASURE OPENING CD
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
